condition,model_family,source_status,n_rows,n_subjects,macro_f1,balanced_accuracy,accuracy,severe_error_rate,recall_class_0,recall_class_1,recall_class_2,recall_class_3,confusion_matrix,task,primary_metric_name,primary_metric_value,raw_mae,bounded_mae,bounded_rmse,bounded_r2,bounded_spearman,bounded_spearman_status,clipping_count,clipping_rate,task_wording
PERFORMANCE_ONLY_AUXILIARY,TRADITIONAL,NEW_PHASE08_RUN,419,35,0.7166671501207432,0.7186640403621535,0.7183770883054893,0.10739856801909307,0.8269230769230769,0.6226415094339622,0.6346153846153846,0.7904761904761904,"[[86,5,8,5],[11,66,20,9],[9,19,66,10],[7,7,8,83]]",classification,macro_f1,0.7166671501207432,,,,,,,,,
WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,HDC,REUSED_FROZEN_REFERENCE,419,35,0.8710573880254382,0.8712363501278596,0.8711217183770883,0.01909307875894988,0.8173076923076923,0.8018867924528302,0.9038461538461539,0.9619047619047619,"[[85,16,3,0],[13,85,7,1],[4,4,94,2],[0,0,4,101]]",classification,macro_f1,0.8710573880254382,,,,,,,,,
WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,TRADITIONAL,REUSED_FROZEN_REFERENCE,419,35,0.9356075023489925,0.9356862084456424,0.9355608591885441,0.014319809069212411,0.9423076923076923,0.8867924528301887,0.9326923076923077,0.9809523809523809,"[[98,1,4,1],[4,94,8,0],[1,2,97,4],[0,0,2,103]]",classification,macro_f1,0.9356075023489925,,,,,,,,,
WITH_PERFORMANCE_AUXILIARY,HDC,NEW_PHASE08_RUN,419,35,0.8419786048184106,0.8424355518695141,0.8424821002386634,0.02386634844868735,0.7884615384615384,0.7924528301886793,0.8269230769230769,0.9619047619047619,"[[82,18,3,1],[10,84,10,2],[3,8,86,7],[1,0,3,101]]",classification,macro_f1,0.8419786048184106,,,,,,,,,
WITH_PERFORMANCE_AUXILIARY,TRADITIONAL,NEW_PHASE08_RUN,419,35,0.9402428649824057,0.9404485451655262,0.9403341288782816,0.011933174224343675,0.9519230769230769,0.8962264150943396,0.9326923076923077,0.9809523809523809,"[[99,1,3,1],[5,95,6,0],[1,2,97,4],[0,0,2,103]]",classification,macro_f1,0.9402428649824057,,,,,,,,,
BEST_SINGLE_FLIGHT_REFERENCE,HDC,REUSED_FROZEN_REFERENCE,419,35,,,,,,,,,,regression,bounded_mae,0.26110997582338896,0.27953631792362765,0.26110997582338896,0.38910386961153864,0.8786467038722958,0.9312472328247438,DEFINED,54.0,0.1288782816229117,bounded difficulty-induced workload proxy regression
FLIGHT_BEHAVIORAL_ONLY,HDC,NEW_PHASE08_RUN,419,35,,,,,,,,,,regression,bounded_mae,0.26110997582338896,0.27953631792362765,0.26110997582338896,0.38910386961153864,0.8786467038722958,0.9312472328247438,DEFINED,54.0,0.1288782816229117,bounded difficulty-induced workload proxy regression
FLIGHT_BEHAVIORAL_ONLY,TRADITIONAL,NEW_PHASE08_RUN,419,35,,,,,,,,,,regression,bounded_mae,0.09223506703340688,0.09783084747040309,0.09223506703340688,0.2353528064024707,0.9556024259991283,0.9541068012315398,DEFINED,81.0,0.19331742243436753,bounded difficulty-induced workload proxy regression
FLIGHT_FULL,HDC,REUSED_FROZEN_REFERENCE,419,35,,,,,,,,,,regression,bounded_mae,0.26110997582338896,0.27953631792362765,0.26110997582338896,0.38910386961153864,0.8786467038722958,0.9312472328247438,DEFINED,54.0,0.1288782816229117,bounded difficulty-induced workload proxy regression
FLIGHT_FULL,TRADITIONAL,NEW_PHASE08_RUN,419,35,,,,,,,,,,regression,bounded_mae,0.09299931690981272,0.09892428013329965,0.09299931690981272,0.23636754726043127,0.955218753880735,0.9538408269867908,DEFINED,79.0,0.18854415274463007,bounded difficulty-induced workload proxy regression
FULL_PRIMARY_REFERENCE,HDC,REUSED_FROZEN_REFERENCE,419,35,,,,,,,,,,regression,bounded_mae,0.2657274084669525,0.2840964260776437,0.2657274084669525,0.39432709575753067,0.87536680812352,0.9283794376857553,DEFINED,52.0,0.12410501193317422,bounded difficulty-induced workload proxy regression
FULL_PRIMARY_REFERENCE,TRADITIONAL,REUSED_FROZEN_REFERENCE,419,35,,,,,,,,,,regression,bounded_mae,0.10748622346925181,0.11306438938653676,0.10748622346925181,0.2550837953674904,0.947846168738032,0.9529838128466465,DEFINED,74.0,0.1766109785202864,bounded difficulty-induced workload proxy regression
FUSION_PE,HDC,NEW_PHASE08_RUN,419,35,,,,,,,,,,regression,bounded_mae,0.8921531373508355,0.9626756725955132,0.8921531373508355,1.1378133092291698,-0.037677729717058295,0.3640083167784312,DEFINED,56.0,0.13365155131264916,bounded difficulty-induced workload proxy regression
FUSION_PE,TRADITIONAL,NEW_PHASE08_RUN,419,35,,,,,,,,,,regression,bounded_mae,0.818992200327216,0.8231733580683812,0.818992200327216,1.019801114522642,0.16641202373863662,0.4452890054138776,DEFINED,12.0,0.028639618138424822,bounded difficulty-induced workload proxy regression
FUSION_PEH,HDC,NEW_PHASE08_RUN,419,35,,,,,,,,,,regression,bounded_mae,0.861676515556086,0.8807675127513126,0.861676515556086,1.0976586691789223,0.03427138336432689,0.3951301220398037,DEFINED,36.0,0.08591885441527446,bounded difficulty-induced workload proxy regression
FUSION_PEH,TRADITIONAL,NEW_PHASE08_RUN,419,35,,,,,,,,,,regression,bounded_mae,0.8170352120333677,0.8175337577786824,0.8170352120333677,1.0076330534205928,0.1861857546739164,0.4557343872045905,DEFINED,4.0,0.00954653937947494,bounded difficulty-induced workload proxy regression
FUSION_PEHF,HDC,NEW_PHASE08_RUN,419,35,,,,,,,,,,regression,bounded_mae,0.26381443277326966,0.2835957175799522,0.26381443277326966,0.3931199330267795,0.8761287250900359,0.9287762524058231,DEFINED,52.0,0.12410501193317422,bounded difficulty-induced workload proxy regression
FUSION_PEHF,TRADITIONAL,NEW_PHASE08_RUN,419,35,,,,,,,,,,regression,bounded_mae,0.10665231509139479,0.11226507371703152,0.10665231509139479,0.2541570930006546,0.9482244231623249,0.9529964197891501,DEFINED,71.0,0.16945107398568018,bounded difficulty-induced workload proxy regression
PERFORMANCE_ONLY_AUXILIARY,HDC,NEW_PHASE08_RUN,419,35,,,,,,,,,,regression,bounded_mae,0.5448830815847255,0.5624155355455848,0.5448830815847255,0.7004833882310346,0.6067070528870777,0.7840783933047848,DEFINED,31.0,0.07398568019093078,bounded difficulty-induced workload proxy regression
PERFORMANCE_ONLY_AUXILIARY,TRADITIONAL,NEW_PHASE08_RUN,419,35,,,,,,,,,,regression,bounded_mae,0.5269221934755356,0.5395704107245507,0.5269221934755356,0.7183793738793924,0.5863546125246206,0.7583657631120813,DEFINED,36.0,0.08591885441527446,bounded difficulty-induced workload proxy regression
WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,HDC,REUSED_FROZEN_REFERENCE,419,35,,,,,,,,,,regression,bounded_mae,0.2657274084669525,0.2840964260776437,0.2657274084669525,0.39432709575753067,0.87536680812352,0.9283794376857553,DEFINED,52.0,0.12410501193317422,bounded difficulty-induced workload proxy regression
WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,TRADITIONAL,REUSED_FROZEN_REFERENCE,419,35,,,,,,,,,,regression,bounded_mae,0.10748622346925181,0.11306438938653676,0.10748622346925181,0.2550837953674904,0.947846168738032,0.9529838128466465,DEFINED,74.0,0.1766109785202864,bounded difficulty-induced workload proxy regression
WITH_PERFORMANCE_AUXILIARY,HDC,NEW_PHASE08_RUN,419,35,,,,,,,,,,regression,bounded_mae,0.2502659795894988,0.2667882634558473,0.2502659795894988,0.38749729340776423,0.8796467495653353,0.9290313331062423,DEFINED,58.0,0.13842482100238662,bounded difficulty-induced workload proxy regression
WITH_PERFORMANCE_AUXILIARY,TRADITIONAL,NEW_PHASE08_RUN,419,35,,,,,,,,,,regression,bounded_mae,0.10483121494608248,0.11010521096860704,0.10483121494608248,0.24677346175588494,0.9511890360948967,0.9536015263044554,DEFINED,77.0,0.18377088305489261,bounded difficulty-induced workload proxy regression
